x	y	z
-4.2	-2	0.000543897
-4.2	-1.975	0.000582498
-4.2	-1.95	0.00062391
-4.2	-1.925	0.000668341
-4.2	-1.9	0.000716018
-4.2	-1.875	0.000767184
-4.2	-1.85	0.0008221
-4.2	-1.825	0.000881048
-4.2	-1.8	0.000944333
-4.2	-1.775	0.00101228
-4.2	-1.75	0.00108524
-4.2	-1.725	0.0011636
-4.2	-1.7	0.00124776
-4.2	-1.675	0.00133817
-4.2	-1.65	0.00143529
-4.2	-1.625	0.00153965
-4.2	-1.6	0.00165179
-4.2	-1.575	0.00177231
-4.2	-1.55	0.00190185
-4.2	-1.525	0.0020411
-4.2	-1.5	0.00219082
-4.2	-1.475	0.0023518
-4.2	-1.45	0.00252492
-4.2	-1.425	0.00271111
-4.2	-1.4	0.00291138
-4.2	-1.375	0.00312684
-4.2	-1.35	0.00335866
-4.2	-1.325	0.00360811
-4.2	-1.3	0.00387657
-4.2	-1.275	0.00416553
-4.2	-1.25	0.00447659
-4.2	-1.225	0.00481149
-4.2	-1.2	0.0051721
-4.2	-1.175	0.00556046
-4.2	-1.15	0.00597875
-4.2	-1.125	0.00642935
-4.2	-1.1	0.00691482
-4.2	-1.075	0.00743794
-4.2	-1.05	0.00800171
-4.2	-1.025	0.0086094
-4.2	-1	0.00926451
-4.2	-0.975	0.00997088
-4.2	-0.95	0.0107327
-4.2	-0.925	0.0115543
-4.2	-0.9	0.0124408
-4.2	-0.875	0.0133973
-4.2	-0.85	0.0144296
-4.2	-0.825	0.015544
-4.2	-0.8	0.0167474
-4.2	-0.775	0.0180471
-4.2	-0.75	0.0194513
-4.2	-0.725	0.0209688
-4.2	-0.7	0.0226093
-4.2	-0.675	0.0243835
-4.2	-0.65	0.0263031
-4.2	-0.625	0.0283807
-4.2	-0.6	0.0306305
-4.2	-0.575	0.0330681
-4.2	-0.55	0.0357106
-4.2	-0.525	0.038577
-4.2	-0.5	0.0416883
-4.2	-0.475	0.0450677
-4.2	-0.45	0.0487409
-4.2	-0.425	0.0527361
-4.2	-0.4	0.0570844
-4.2	-0.375	0.0618194
-4.2	-0.35	0.066977
-4.2	-0.325	0.0725945
-4.2	-0.3	0.0787088
-4.2	-0.275	0.0853533
-4.2	-0.25	0.0925523
-4.2	-0.225	0.100313
-4.2	-0.2	0.10861
-4.2	-0.175	0.117369
-4.2	-0.15	0.126436
-4.2	-0.125	0.13555
-4.2	-0.1	0.144311
-4.2	-0.075	0.152176
-4.2	-0.05	0.158497
-4.2	-0.025	0.162624
-4.2	0	0.164061
-4.2	0.025	0.162624
-4.2	0.05	0.158497
-4.2	0.075	0.152176
-4.2	0.1	0.144311
-4.2	0.125	0.13555
-4.2	0.15	0.126436
-4.2	0.175	0.117369
-4.2	0.2	0.10861
-4.2	0.225	0.100313
-4.2	0.25	0.0925523
-4.2	0.275	0.0853533
-4.2	0.3	0.0787088
-4.2	0.325	0.0725945
-4.2	0.35	0.066977
-4.2	0.375	0.0618194
-4.2	0.4	0.0570844
-4.2	0.425	0.0527361
-4.2	0.45	0.0487409
-4.2	0.475	0.0450677
-4.2	0.5	0.0416883
-4.2	0.525	0.038577
-4.2	0.55	0.0357106
-4.2	0.575	0.0330681
-4.2	0.6	0.0306305
-4.2	0.625	0.0283807
-4.2	0.65	0.0263031
-4.2	0.675	0.0243835
-4.2	0.7	0.0226093
-4.2	0.725	0.0209688
-4.2	0.75	0.0194513
-4.2	0.775	0.0180471
-4.2	0.8	0.0167474
-4.2	0.825	0.015544
-4.2	0.85	0.0144296
-4.2	0.875	0.0133973
-4.2	0.9	0.0124408
-4.2	0.925	0.0115543
-4.2	0.95	0.0107327
-4.2	0.975	0.00997088
-4.2	1	0.00926451
-4.2	1.025	0.0086094
-4.2	1.05	0.00800171
-4.2	1.075	0.00743794
-4.2	1.1	0.00691482
-4.2	1.125	0.00642935
-4.2	1.15	0.00597875
-4.2	1.175	0.00556046
-4.2	1.2	0.0051721
-4.2	1.225	0.00481149
-4.2	1.25	0.00447659
-4.2	1.275	0.00416553
-4.2	1.3	0.00387657
-4.2	1.325	0.00360811
-4.2	1.35	0.00335866
-4.2	1.375	0.00312684
-4.2	1.4	0.00291138
-4.2	1.425	0.00271111
-4.2	1.45	0.00252492
-4.2	1.475	0.0023518
-4.2	1.5	0.00219082
-4.2	1.525	0.0020411
-4.2	1.55	0.00190185
-4.2	1.575	0.00177231
-4.2	1.6	0.00165179
-4.2	1.625	0.00153965
-4.2	1.65	0.00143529
-4.2	1.675	0.00133817
-4.2	1.7	0.00124776
-4.2	1.725	0.0011636
-4.2	1.75	0.00108524
-4.2	1.775	0.00101228
-4.2	1.8	0.000944333
-4.2	1.825	0.000881048
-4.2	1.85	0.0008221
-4.2	1.875	0.000767184
-4.2	1.9	0.000716018
-4.2	1.925	0.000668341
-4.2	1.95	0.00062391
-4.2	1.975	0.000582498
-4.2	2	0.000543897
-4.175	-2	0.000566513
-4.175	-1.975	0.000606691
-4.175	-1.95	0.000649792
-4.175	-1.925	0.000696034
-4.175	-1.9	0.000745652
-4.175	-1.875	0.000798899
-4.175	-1.85	0.000856047
-4.175	-1.825	0.000917388
-4.175	-1.8	0.00098324
-4.175	-1.775	0.00105394
-4.175	-1.75	0.00112986
-4.175	-1.725	0.00121138
-4.175	-1.7	0.00129895
-4.175	-1.675	0.001393
-4.175	-1.65	0.00149405
-4.175	-1.625	0.00160261
-4.175	-1.6	0.00171927
-4.175	-1.575	0.00184464
-4.175	-1.55	0.00197939
-4.175	-1.525	0.00212424
-4.175	-1.5	0.00227997
-4.175	-1.475	0.00244741
-4.175	-1.45	0.00262748
-4.175	-1.425	0.00282113
-4.175	-1.4	0.00302944
-4.175	-1.375	0.00325353
-4.175	-1.35	0.00349463
-4.175	-1.325	0.00375406
-4.175	-1.3	0.00403327
-4.175	-1.275	0.00433379
-4.175	-1.25	0.0046573
-4.175	-1.225	0.00500561
-4.175	-1.2	0.00538066
-4.175	-1.175	0.00578457
-4.175	-1.15	0.00621963
-4.175	-1.125	0.0066883
-4.175	-1.1	0.00719326
-4.175	-1.075	0.00773741
-4.175	-1.05	0.00832388
-4.175	-1.025	0.00895608
-4.175	-1	0.0096377
-4.175	-0.975	0.0103727
-4.175	-0.95	0.0111655
-4.175	-0.925	0.0120208
-4.175	-0.9	0.0129436
-4.175	-0.875	0.0139397
-4.175	-0.85	0.015015
-4.175	-0.825	0.0161762
-4.175	-0.8	0.0174305
-4.175	-0.775	0.0187859
-4.175	-0.75	0.020251
-4.175	-0.725	0.0218354
-4.175	-0.7	0.0235495
-4.175	-0.675	0.0254049
-4.175	-0.65	0.0274142
-4.175	-0.625	0.0295917
-4.175	-0.6	0.031953
-4.175	-0.575	0.0345157
-4.175	-0.55	0.0372992
-4.175	-0.525	0.0403254
-4.175	-0.5	0.0436192
-4.175	-0.475	0.0472081
-4.175	-0.45	0.0511239
-4.175	-0.425	0.0554019
-4.175	-0.4	0.0600826
-4.175	-0.375	0.0652115
-4.175	-0.35	0.0708397
-4.175	-0.325	0.077024
-4.175	-0.3	0.083826
-4.175	-0.275	0.0913104
-4.175	-0.25	0.0995401
-4.175	-0.225	0.108568
-4.175	-0.2	0.118422
-4.175	-0.175	0.129078
-4.175	-0.15	0.140418
-4.175	-0.125	0.152175
-4.175	-0.1	0.163859
