x	math	gsl	my
0.0001	9.21028	9.21028	-nan
0.0011	6.81181	6.81181	-nan
0.0021	6.16461	6.16461	-nan
0.0031	5.77457	5.77457	-nan
0.0041	5.49442	5.49442	-nan
0.0051	5.27559	5.27559	-nan
0.0061	5.09598	5.09598	-nan
0.0071	4.9436	4.9436	-nan
0.0081	4.81127	4.81127	-nan
0.0091	4.6943	4.6943	-nan
0.0101	4.58947	4.58947	-nan
0.0111	4.4945	4.4945	-nan
0.0121	4.40769	4.40769	-nan
0.0131	4.32772	4.32772	-nan
0.0141	4.2536	4.2536	-nan
0.0151	4.18453	4.18453	-nan
0.0161	4.11985	4.11985	-nan
0.0171	4.05904	4.05904	-nan
0.0181	4.00166	4.00166	-nan
0.0191	3.94734	3.94734	-nan
0.0201	3.89576	3.89576	-nan
0.0211	3.84667	3.84667	-nan
0.0221	3.79982	3.79982	-nan
0.0231	3.75502	3.75502	-nan
0.0241	3.7121	3.7121	-nan
0.0251	3.67091	3.67091	-nan
0.0261	3.63131	3.63131	-nan
0.0271	3.59318	3.59318	-nan
0.0281	3.55641	3.55641	-nan
0.0291	3.52091	3.52091	-nan
0.0301	3.48659	3.48659	-nan
0.0311	3.45338	3.45338	-nan
0.0321	3.42121	3.42121	-nan
0.0331	3.39	3.39	-nan
0.0341	3.35972	3.35972	-nan
0.0351	3.33029	3.33029	-nan
0.0361	3.30168	3.30168	-nan
0.0371	3.27384	3.27384	-nan
0.0381	3.24672	3.24672	-nan
0.0391	3.2203	3.2203	-nan
0.0401	3.19453	3.19453	-nan
0.0411	3.16939	3.16939	-nan
0.0421	3.14484	3.14484	-nan
0.0431	3.12085	3.12085	-nan
0.0441	3.09741	3.09741	-nan
0.0451	3.07448	3.07448	-nan
0.0461	3.05204	3.05204	-nan
0.0471	3.03008	3.03008	-nan
0.0481	3.00857	3.00857	-nan
0.0491	2.98749	2.98749	-nan
0.0501	2.96683	2.96683	-nan
0.0511	2.94657	2.94657	-nan
