x	math	gsl	my
-5.0001	83.3191	83.3191	83.3191
-4.9991	-9.2735	-9.2735	-9.2735
-4.9981	-4.40023	-4.40023	-4.40023
-4.9971	-2.88785	-2.88785	-2.88785
-4.9961	-2.15107	-2.15107	-2.15107
-4.9951	-1.71502	-1.71502	-1.71502
-4.9941	-1.4268	-1.4268	-1.4268
-4.9931	-1.22212	-1.22212	-1.22212
-4.9921	-1.06927	-1.06927	-1.06927
-4.9911	-0.950773	-0.950773	-0.950773
-4.9901	-0.85622	-0.85622	-0.85622
-4.9891	-0.779021	-0.779021	-0.779021
-4.9881	-0.7148	-0.7148	-0.7148
-4.9871	-0.660541	-0.660541	-0.660541
-4.9861	-0.614092	-0.614092	-0.614092
-4.9851	-0.573882	-0.573882	-0.573882
-4.9841	-0.538733	-0.538733	-0.538733
-4.9831	-0.507747	-0.507747	-0.507747
-4.9821	-0.480225	-0.480225	-0.480225
-4.9811	-0.455619	-0.455619	-0.455619
-4.9801	-0.433489	-0.433489	-0.433489
-4.9791	-0.413479	-0.413479	-0.413479
-4.9781	-0.395299	-0.395299	-0.395299
-4.9771	-0.378709	-0.378709	-0.378709
-4.9761	-0.363509	-0.363509	-0.363509
-4.9751	-0.349533	-0.349533	-0.349533
-4.9741	-0.336638	-0.336638	-0.336638
-4.9731	-0.324703	-0.324703	-0.324703
-4.9721	-0.313627	-0.313627	-0.313627
-4.9711	-0.303318	-0.303318	-0.303318
-4.9701	-0.293701	-0.293701	-0.293701
-4.9691	-0.284709	-0.284709	-0.284709
-4.9681	-0.276281	-0.276281	-0.276281
-4.9671	-0.268368	-0.268368	-0.268368
-4.9661	-0.260924	-0.260924	-0.260924
-4.9651	-0.253907	-0.253907	-0.253907
-4.9641	-0.247283	-0.247283	-0.247283
-4.9631	-0.24102	-0.24102	-0.24102
-4.9621	-0.235089	-0.235089	-0.235089
-4.9611	-0.229464	-0.229464	-0.229464
-4.9601	-0.224122	-0.224122	-0.224122
-4.9591	-0.219043	-0.219043	-0.219043
-4.9581	-0.214208	-0.214208	-0.214208
-4.9571	-0.2096	-0.2096	-0.2096
-4.9561	-0.205203	-0.205203	-0.205203
-4.9551	-0.201003	-0.201003	-0.201003
-4.9541	-0.196988	-0.196988	-0.196988
-4.9531	-0.193145	-0.193145	-0.193145
-4.9521	-0.189463	-0.189463	-0.189463
-4.9511	-0.185934	-0.185934	-0.185934
-4.9501	-0.182547	-0.182547	-0.182547
-4.9491	-0.179294	-0.179294	-0.179294
-4.9481	-0.176168	-0.176168	-0.176168
-4.9471	-0.173161	-0.173161	-0.173161
-4.9461	-0.170267	-0.170267	-0.170267
-4.9451	-0.167479	-0.167479	-0.167479
-4.9441	-0.164793	-0.164793	-0.164793
-4.9431	-0.162201	-0.162201	-0.162201
-4.9421	-0.159701	-0.159701	-0.159701
-4.9411	-0.157286	-0.157286	-0.157286
-4.9401	-0.154953	-0.154953	-0.154953
-4.9391	-0.152698	-0.152698	-0.152698
-4.9381	-0.150516	-0.150516	-0.150516
-4.9371	-0.148405	-0.148405	-0.148405
-4.9361	-0.146361	-0.146361	-0.146361
-4.9351	-0.144381	-0.144381	-0.144381
-4.9341	-0.142462	-0.142462	-0.142462
-4.9331	-0.140601	-0.140601	-0.140601
-4.9321	-0.138796	-0.138796	-0.138796
-4.9311	-0.137044	-0.137044	-0.137044
-4.9301	-0.135344	-0.135344	-0.135344
-4.9291	-0.133692	-0.133692	-0.133692
-4.9281	-0.132087	-0.132087	-0.132087
-4.9271	-0.130527	-0.130527	-0.130527
-4.9261	-0.12901	-0.12901	-0.12901
-4.9251	-0.127535	-0.127535	-0.127535
-4.9241	-0.126099	-0.126099	-0.126099
-4.9231	-0.124701	-0.124701	-0.124701
-4.9221	-0.12334	-0.12334	-0.12334
-4.9211	-0.122015	-0.122015	-0.122015
-4.9201	-0.120724	-0.120724	-0.120724
-4.9191	-0.119465	-0.119465	-0.119465
-4.9181	-0.118238	-0.118238	-0.118238
-4.9171	-0.117041	-0.117041	-0.117041
-4.9161	-0.115874	-0.115874	-0.115874
-4.9151	-0.114735	-0.114735	-0.114735
-4.9141	-0.113623	-0.113623	-0.113623
-4.9131	-0.112538	-0.112538	-0.112538
-4.9121	-0.111478	-0.111478	-0.111478
-4.9111	-0.110442	-0.110442	-0.110442
-4.9101	-0.109431	-0.109431	-0.109431
-4.9091	-0.108443	-0.108443	-0.108443
-4.9081	-0.107476	-0.107476	-0.107476
-4.9071	-0.106532	-0.106532	-0.106532
-4.9061	-0.105608	-0.105608	-0.105608
-4.9051	-0.104705	-0.104705	-0.104705
-4.9041	-0.103821	-0.103821	-0.103821
-4.9031	-0.102956	-0.102956	-0.102956
-4.9021	-0.102109	-0.102109	-0.102109
-4.9011	-0.101281	-0.101281	-0.101281
-4.9001	-0.100469	-0.100469	-0.100469
-4.8991	-0.0996746	-0.0996746	-0.0996746
-4.8981	-0.0988963	-0.0988963	-0.0988963
-4.8971	-0.0981339	-0.0981339	-0.0981339
-4.8961	-0.0973869	-0.0973869	-0.0973869
-4.8951	-0.0966548	-0.0966548	-0.0966548
-4.8941	-0.0959372	-0.0959372	-0.0959372
-4.8931	-0.0952338	-0.0952338	-0.0952338
-4.8921	-0.0945441	-0.0945441	-0.0945441
-4.8911	-0.0938678	-0.0938678	-0.0938678
-4.8901	-0.0932044	-0.0932044	-0.0932044
-4.8891	-0.0925537	-0.0925537	-0.0925537
-4.8881	-0.0919153	-0.0919153	-0.0919153
-4.8871	-0.0912889	-0.0912889	-0.0912889
-4.8861	-0.0906742	-0.0906742	-0.0906742
-4.8851	-0.0900708	-0.0900708	-0.0900708
-4.8841	-0.0894785	-0.0894785	-0.0894785
-4.8831	-0.088897	-0.088897	-0.088897
-4.8821	-0.088326	-0.088326	-0.088326
-4.8811	-0.0877653	-0.0877653	-0.0877653
-4.8801	-0.0872146	-0.0872146	-0.0872146
-4.8791	-0.0866737	-0.0866737	-0.0866737
-4.8781	-0.0861423	-0.0861423	-0.0861423
-4.8771	-0.0856201	-0.0856201	-0.0856201
-4.8761	-0.0851071	-0.0851071	-0.0851071
-4.8751	-0.0846029	-0.0846029	-0.0846029
-4.8741	-0.0841073	-0.0841073	-0.0841073
-4.8731	-0.0836202	-0.0836202	-0.0836202
-4.8721	-0.0831414	-0.0831414	-0.0831414
-4.8711	-0.0826706	-0.0826706	-0.0826706
-4.8701	-0.0822077	-0.0822077	-0.0822077
-4.8691	-0.0817525	-0.0817525	-0.0817525
-4.8681	-0.0813048	-0.0813048	-0.0813048
-4.8671	-0.0808645	-0.0808645	-0.0808645
-4.8661	-0.0804314	-0.0804314	-0.0804314
-4.8651	-0.0800053	-0.0800053	-0.0800053
-4.8641	-0.0795861	-0.0795861	-0.0795861
-4.8631	-0.0791736	-0.0791736	-0.0791736
-4.8621	-0.0787678	-0.0787678	-0.0787678
-4.8611	-0.0783684	-0.0783684	-0.0783684
-4.8601	-0.0779753	-0.0779753	-0.0779753
-4.8591	-0.0775884	-0.0775884	-0.0775884
-4.8581	-0.0772075	-0.0772075	-0.0772075
-4.8571	-0.0768326	-0.0768326	-0.0768326
-4.8561	-0.0764635	-0.0764635	-0.0764635
-4.8551	-0.0761001	-0.0761001	-0.0761001
-4.8541	-0.0757423	-0.0757423	-0.0757423
-4.8531	-0.0753899	-0.0753899	-0.0753899
-4.8521	-0.075043	-0.075043	-0.075043
-4.8511	-0.0747012	-0.0747012	-0.0747012
-4.8501	-0.0743646	-0.0743646	-0.0743646
-4.8491	-0.0740331	-0.0740331	-0.0740331
-4.8481	-0.0737065	-0.0737065	-0.0737065
-4.8471	-0.0733848	-0.0733848	-0.0733848
-4.8461	-0.0730679	-0.0730679	-0.0730679
-4.8451	-0.0727556	-0.0727556	-0.0727556
-4.8441	-0.0724479	-0.0724479	-0.0724479
-4.8431	-0.0721447	-0.0721447	-0.0721447
-4.8421	-0.071846	-0.071846	-0.071846
-4.8411	-0.0715516	-0.0715516	-0.0715516
-4.8401	-0.0712614	-0.0712614	-0.0712614
-4.8391	-0.0709754	-0.0709754	-0.0709754
-4.8381	-0.0706936	-0.0706936	-0.0706936
-4.8371	-0.0704158	-0.0704158	-0.0704158
-4.8361	-0.0701419	-0.0701419	-0.0701419
-4.8351	-0.069872	-0.069872	-0.069872
-4.8341	-0.0696058	-0.0696058	-0.0696058
-4.8331	-0.0693435	-0.0693435	-0.0693435
-4.8321	-0.0690848	-0.0690848	-0.0690848
-4.8311	-0.0688297	-0.0688297	-0.0688297
-4.8301	-0.0685783	-0.0685783	-0.0685783
-4.8291	-0.0683303	-0.0683303	-0.0683303
-4.8281	-0.0680858	-0.0680858	-0.0680858
-4.8271	-0.0678447	-0.0678447	-0.0678447
-4.8261	-0.0676069	-0.0676069	-0.0676069
-4.8251	-0.0673725	-0.0673725	-0.0673725
-4.8241	-0.0671412	-0.0671412	-0.0671412
-4.8231	-0.0669131	-0.0669131	-0.0669131
-4.8221	-0.0666882	-0.0666882	-0.0666882
-4.8211	-0.0664663	-0.0664663	-0.0664663
-4.8201	-0.0662475	-0.0662475	-0.0662475
-4.8191	-0.0660316	-0.0660316	-0.0660316
-4.8181	-0.0658187	-0.0658187	-0.0658187
-4.8171	-0.0656086	-0.0656086	-0.0656086
-4.8161	-0.0654014	-0.0654014	-0.0654014
-4.8151	-0.065197	-0.065197	-0.065197
-4.8141	-0.0649954	-0.0649954	-0.0649954
-4.8131	-0.0647964	-0.0647964	-0.0647964
-4.8121	-0.0646002	-0.0646002	-0.0646002
-4.8111	-0.0644066	-0.0644066	-0.0644066
-4.8101	-0.0642155	-0.0642155	-0.0642155
-4.8091	-0.0640271	-0.0640271	-0.0640271
-4.8081	-0.0638411	-0.0638411	-0.0638411
-4.8071	-0.0636576	-0.0636576	-0.0636576
-4.8061	-0.0634766	-0.0634766	-0.0634766
-4.8051	-0.063298	-0.063298	-0.063298
-4.8041	-0.0631218	-0.0631218	-0.0631218
-4.8031	-0.0629479	-0.0629479	-0.0629479
-4.8021	-0.0627763	-0.0627763	-0.0627763
-4.8011	-0.062607	-0.062607	-0.062607
-4.8001	-0.0624399	-0.0624399	-0.0624399
-4.7991	-0.0622751	-0.0622751	-0.0622751
-4.7981	-0.0621124	-0.0621124	-0.0621124
-4.7971	-0.0619519	-0.0619519	-0.0619519
-4.7961	-0.0617936	-0.0617936	-0.0617936
-4.7951	-0.0616373	-0.0616373	-0.0616373
-4.7941	-0.0614831	-0.0614831	-0.0614831
-4.7931	-0.0613309	-0.0613309	-0.0613309
-4.7921	-0.0611807	-0.0611807	-0.0611807
-4.7911	-0.0610325	-0.0610325	-0.0610325
-4.7901	-0.0608863	-0.0608863	-0.0608863
-4.7891	-0.0607421	-0.0607421	-0.0607421
-4.7881	-0.0605997	-0.0605997	-0.0605997
-4.7871	-0.0604592	-0.0604592	-0.0604592
-4.7861	-0.0603206	-0.0603206	-0.0603206
-4.7851	-0.0601838	-0.0601838	-0.0601838
-4.7841	-0.0600489	-0.0600489	-0.0600489
-4.7831	-0.0599157	-0.0599157	-0.0599157
-4.7821	-0.0597843	-0.0597843	-0.0597843
-4.7811	-0.0596547	-0.0596547	-0.0596547
-4.7801	-0.0595267	-0.0595267	-0.0595267
-4.7791	-0.0594005	-0.0594005	-0.0594005
-4.7781	-0.059276	-0.059276	-0.059276
-4.7771	-0.0591531	-0.0591531	-0.0591531
-4.7761	-0.0590319	-0.0590319	-0.0590319
-4.7751	-0.0589123	-0.0589123	-0.0589123
-4.7741	-0.0587944	-0.0587944	-0.0587944
-4.7731	-0.058678	-0.058678	-0.058678
-4.7721	-0.0585632	-0.0585632	-0.0585632
-4.7711	-0.0584499	-0.0584499	-0.0584499
-4.7701	-0.0583382	-0.0583382	-0.0583382
-4.7691	-0.0582279	-0.0582279	-0.0582279
-4.7681	-0.0581192	-0.0581192	-0.0581192
-4.7671	-0.058012	-0.058012	-0.058012
-4.7661	-0.0579062	-0.0579062	-0.0579062
-4.7651	-0.0578019	-0.0578019	-0.0578019
-4.7641	-0.0576991	-0.0576991	-0.0576991
-4.7631	-0.0575976	-0.0575976	-0.0575976
-4.7621	-0.0574976	-0.0574976	-0.0574976
