x	res0	res1	res2	res3	func
0	1	1	1	1	1
0.01	0.999975	0.999975	0.999975	0.999975	0.999975
0.02	0.9999	0.9999	0.9999	0.9999	0.9999
0.03	0.999775	0.999775	0.999775	0.999775	0.999775
0.04	0.9996	0.9996	0.9996	0.9996	0.9996
0.05	0.999375	0.999375	0.999375	0.999375	0.999375
0.06	0.9991	0.9991	0.9991	0.9991	0.9991
0.07	0.998775	0.998775	0.998775	0.998775	0.998775
0.08	0.998401	0.998401	0.998401	0.998401	0.998401
0.09	0.997976	0.997976	0.997976	0.997976	0.997976
0.1	0.997502	0.997502	0.997502	0.997502	0.997502
0.11	0.996977	0.996977	0.996977	0.996977	0.996977
0.12	0.996403	0.996403	0.996403	0.996403	0.996403
0.13	0.995779	0.995779	0.995779	0.995779	0.995779
0.14	0.995106	0.995106	0.995106	0.995106	0.995106
0.15	0.994383	0.994383	0.994383	0.994383	0.994383
0.16	0.99361	0.99361	0.99361	0.99361	0.99361
0.17	0.992788	0.992788	0.992788	0.992788	0.992788
0.18	0.991916	0.991916	0.991916	0.991916	0.991916
0.19	0.990995	0.990995	0.990995	0.990995	0.990995
0.2	0.990025	0.990025	0.990025	0.990025	0.990025
0.21	0.989005	0.989005	0.989005	0.989005	0.989005
0.22	0.987937	0.987937	0.987937	0.987937	0.987937
0.23	0.986819	0.986819	0.986819	0.986819	0.986819
0.24	0.985652	0.985652	0.985652	0.985652	0.985652
0.25	0.984436	0.984436	0.984436	0.984436	0.984436
0.26	0.983171	0.983171	0.983171	0.983171	0.983171
0.27	0.981858	0.981858	0.981858	0.981858	0.981858
0.28	0.980496	0.980496	0.980496	0.980496	0.980496
0.29	0.979085	0.979085	0.979085	0.979085	0.979085
0.3	0.977626	0.977626	0.977626	0.977626	0.977626
0.31	0.976119	0.976119	0.976119	0.976119	0.976119
0.32	0.974563	0.974563	0.974563	0.974563	0.974563
0.33	0.97296	0.97296	0.97296	0.97296	0.97296
0.34	0.971308	0.971308	0.971308	0.971308	0.971308
0.35	0.969609	0.969609	0.969609	0.969609	0.969609
0.36	0.967861	0.967861	0.967861	0.967861	0.967861
0.37	0.966067	0.966067	0.966067	0.966067	0.966067
0.38	0.964224	0.964224	0.964224	0.964224	0.964224
0.39	0.962335	0.962335	0.962335	0.962335	0.962335
0.4	0.960398	0.960398	0.960398	0.960398	0.960398
0.41	0.958414	0.958414	0.958414	0.958414	0.958414
0.42	0.956384	0.956384	0.956384	0.956384	0.956384
0.43	0.954306	0.954306	0.954306	0.954306	0.954306
0.44	0.952183	0.952183	0.952183	0.952183	0.952183
0.45	0.950012	0.950012	0.950012	0.950012	0.950012
0.46	0.947796	0.947796	0.947796	0.947796	0.947796
0.47	0.945533	0.945533	0.945533	0.945533	0.945533
0.48	0.943224	0.943224	0.943224	0.943224	0.943224
0.49	0.94087	0.94087	0.94087	0.94087	0.94087
0.5	0.93847	0.93847	0.93847	0.93847	0.93847
0.51	0.936024	0.936024	0.936024	0.936024	0.936024
0.52	0.933534	0.933534	0.933534	0.933534	0.933534
0.53	0.930998	0.930998	0.930998	0.930998	0.930998
0.54	0.928418	0.928418	0.928418	0.928418	0.928418
0.55	0.925793	0.925793	0.925793	0.925793	0.925793
0.56	0.923123	0.923123	0.923123	0.923123	0.923123
0.57	0.92041	0.92041	0.92041	0.92041	0.92041
0.58	0.917652	0.917652	0.917652	0.917652	0.917652
0.59	0.91485	0.91485	0.91485	0.91485	0.91485
0.6	0.912005	0.912005	0.912005	0.912005	0.912005
0.61	0.909116	0.909116	0.909116	0.909116	0.909116
