x	res0	res1	res2	res3	func
0	0	0	0	0	0
0.001	0.00112838	0.00112838	0.00112838	0.00112838	0.00112838
0.002	0.00225676	0.00225676	0.00225676	0.00225676	0.00225676
0.003	0.00338513	0.00338513	0.00338513	0.00338513	0.00338513
0.004	0.00451349	0.00451349	0.00451349	0.00451349	0.00451349
0.005	0.00564185	0.00564185	0.00564185	0.00564185	0.00564185
0.006	0.00677019	0.00677019	0.00677019	0.00677019	0.00677019
0.007	0.00789853	0.00789853	0.00789853	0.00789853	0.00789853
0.008	0.00902684	0.00902684	0.00902684	0.00902684	0.00902684
0.009	0.0101551	0.0101551	0.0101551	0.0101551	0.0101551
0.01	0.0112834	0.0112834	0.0112834	0.0112834	0.0112834
0.011	0.0124117	0.0124117	0.0124117	0.0124117	0.0124117
0.012	0.0135399	0.0135399	0.0135399	0.0135399	0.0135399
0.013	0.0146681	0.0146681	0.0146681	0.0146681	0.0146681
0.014	0.0157963	0.0157963	0.0157963	0.0157963	0.0157963
0.015	0.0169244	0.0169244	0.0169244	0.0169244	0.0169244
0.016	0.0180525	0.0180525	0.0180525	0.0180525	0.0180525
0.017	0.0191806	0.0191806	0.0191806	0.0191806	0.0191806
0.018	0.0203086	0.0203086	0.0203086	0.0203086	0.0203086
0.019	0.0214366	0.0214366	0.0214366	0.0214366	0.0214366
0.02	0.0225646	0.0225646	0.0225646	0.0225646	0.0225646
0.021	0.0236925	0.0236925	0.0236925	0.0236925	0.0236925
0.022	0.0248203	0.0248203	0.0248203	0.0248203	0.0248203
0.023	0.0259481	0.0259481	0.0259481	0.0259481	0.0259481
0.024	0.0270759	0.0270759	0.0270759	0.0270759	0.0270759
0.025	0.0282036	0.0282036	0.0282036	0.0282036	0.0282036
0.026	0.0293312	0.0293312	0.0293312	0.0293312	0.0293312
0.027	0.0304588	0.0304588	0.0304588	0.0304588	0.0304588
0.028	0.0315864	0.0315864	0.0315864	0.0315864	0.0315864
0.029	0.0327138	0.0327138	0.0327138	0.0327138	0.0327138
0.03	0.0338412	0.0338412	0.0338412	0.0338412	0.0338412
0.031	0.0349686	0.0349686	0.0349686	0.0349686	0.0349686
0.032	0.0360958	0.0360958	0.0360958	0.0360958	0.0360958
0.033	0.037223	0.037223	0.037223	0.037223	0.037223
0.034	0.0383501	0.0383501	0.0383501	0.0383501	0.0383501
0.035	0.0394772	0.0394772	0.0394772	0.0394772	0.0394772
0.036	0.0406041	0.0406041	0.0406041	0.0406041	0.0406041
0.037	0.041731	0.041731	0.041731	0.041731	0.041731
0.038	0.0428578	0.0428578	0.0428578	0.0428578	0.0428578
0.039	0.0439845	0.0439845	0.0439845	0.0439845	0.0439845
0.04	0.0451111	0.0451111	0.0451111	0.0451111	0.0451111
0.041	0.0462376	0.0462376	0.0462376	0.0462376	0.0462376
0.042	0.0473641	0.0473641	0.0473641	0.0473641	0.0473641
0.043	0.0484904	0.0484904	0.0484904	0.0484904	0.0484904
0.044	0.0496167	0.0496167	0.0496167	0.0496167	0.0496167
0.045	0.0507428	0.0507428	0.0507428	0.0507428	0.0507428
0.046	0.0518689	0.0518689	0.0518689	0.0518689	0.0518689
0.047	0.0529948	0.0529948	0.0529948	0.0529948	0.0529948
0.048	0.0541206	0.0541206	0.0541206	0.0541206	0.0541206
0.049	0.0552464	0.0552464	0.0552464	0.0552464	0.0552464
0.05	0.056372	0.056372	0.056372	0.056372	0.056372
0.051	0.0574975	0.0574975	0.0574975	0.0574975	0.0574975
0.052	0.0586229	0.0586229	0.0586229	0.0586229	0.0586229
0.053	0.0597481	0.0597481	0.0597481	0.0597481	0.0597481
0.054	0.0608733	0.0608733	0.0608733	0.0608733	0.0608733
0.055	0.0619983	0.0619983	0.0619983	0.0619983	0.0619983
0.056	0.0631232	0.0631232	0.0631232	0.0631232	0.0631232
0.057	0.064248	0.064248	0.064248	0.064248	0.064248
0.058	0.0653727	0.0653727	0.0653727	0.0653727	0.0653727
0.059	0.0664972	0.0664972	0.0664972	0.0664972	0.0664972
0.06	0.0676216	0.0676216	0.0676216	0.0676216	0.0676216
0.061	0.0687459	0.0687459	0.0687459	0.0687459	0.0687459
0.062	0.06987	0.06987	0.06987	0.06987	0.06987
0.063	0.070994	0.070994	0.070994	0.070994	0.070994
0.064	0.0721178	0.0721178	0.0721178	0.0721178	0.0721178
0.065	0.0732415	0.0732415	0.0732415	0.0732415	0.0732415
0.066	0.074365	0.074365	0.074365	0.074365	0.074365
0.067	0.0754884	0.0754884	0.0754884	0.0754884	0.0754884
0.068	0.0766117	0.0766117	0.0766117	0.0766117	0.0766117
0.069	0.0777348	0.0777348	0.0777348	0.0777348	0.0777348
0.07	0.0788577	0.0788577	0.0788577	0.0788577	0.0788577
0.071	0.0799805	0.0799805	0.0799805	0.0799805	0.0799805
0.072	0.0811031	0.0811031	0.0811031	0.0811031	0.0811031
0.073	0.0822256	0.0822256	0.0822256	0.0822256	0.0822256
0.074	0.0833479	0.0833479	0.0833479	0.0833479	0.0833479
0.075	0.08447	0.08447	0.08447	0.08447	0.08447
0.076	0.085592	0.085592	0.085592	0.085592	0.085592
0.077	0.0867138	0.0867138	0.0867138	0.0867138	0.0867138
0.078	0.0878354	0.0878354	0.0878354	0.0878354	0.0878354
0.079	0.0889569	0.0889569	0.0889569	0.0889569	0.0889569
0.08	0.0900781	0.0900781	0.0900781	0.0900781	0.0900781
0.081	0.0911992	0.0911992	0.0911992	0.0911992	0.0911992
0.082	0.0923201	0.0923201	0.0923201	0.0923201	0.0923201
0.083	0.0934409	0.0934409	0.0934409	0.0934409	0.0934409
0.084	0.0945614	0.0945614	0.0945614	0.0945614	0.0945614
0.085	0.0956817	0.0956817	0.0956818	0.0956817	0.0956817
0.086	0.0968019	0.0968019	0.0968019	0.0968019	0.0968019
0.087	0.0979219	0.0979219	0.0979219	0.0979219	0.0979219
0.088	0.0990416	0.0990416	0.0990417	0.0990416	0.0990416
0.089	0.100161	0.100161	0.100161	0.100161	0.100161
0.09	0.101281	0.101281	0.101281	0.101281	0.101281
0.091	0.1024	0.1024	0.1024	0.1024	0.1024
