x	fmin	fval	fmax
1	116.038	119.976	124.047
1.001	116.018	119.955	124.026
1.002	115.997	119.935	124.006
1.003	115.977	119.914	123.985
1.004	115.957	119.893	123.964
1.005	115.936	119.873	123.943
1.006	115.916	119.852	123.922
1.007	115.896	119.832	123.902
1.008	115.876	119.811	123.881
1.009	115.855	119.791	123.86
1.01	115.835	119.77	123.839
1.011	115.815	119.75	123.818
1.012	115.795	119.729	123.798
1.013	115.774	119.709	123.777
1.014	115.754	119.688	123.756
1.015	115.734	119.668	123.735
1.016	115.714	119.647	123.715
1.017	115.693	119.627	123.694
1.018	115.673	119.606	123.673
1.019	115.653	119.586	123.652
1.02	115.633	119.565	123.632
1.021	115.612	119.545	123.611
1.022	115.592	119.524	123.59
1.023	115.572	119.504	123.569
1.024	115.552	119.483	123.549
1.025	115.532	119.463	123.528
1.026	115.511	119.442	123.507
1.027	115.491	119.422	123.486
1.028	115.471	119.401	123.466
1.029	115.451	119.381	123.445
1.03	115.431	119.36	123.424
1.031	115.41	119.34	123.403
1.032	115.39	119.32	123.383
1.033	115.37	119.299	123.362
1.034	115.35	119.279	123.341
1.035	115.33	119.258	123.321
1.036	115.309	119.238	123.3
1.037	115.289	119.217	123.279
1.038	115.269	119.197	123.259
1.039	115.249	119.176	123.238
1.04	115.229	119.156	123.217
1.041	115.209	119.136	123.197
1.042	115.188	119.115	123.176
1.043	115.168	119.095	123.155
1.044	115.148	119.074	123.134
1.045	115.128	119.054	123.114
1.046	115.108	119.034	123.093
1.047	115.088	119.013	123.073
1.048	115.068	118.993	123.052
1.049	115.048	118.972	123.031
1.05	115.027	118.952	123.011
1.051	115.007	118.932	122.99
1.052	114.987	118.911	122.969
1.053	114.967	118.891	122.949
1.054	114.947	118.871	122.928
1.055	114.927	118.85	122.907
1.056	114.907	118.83	122.887
1.057	114.887	118.809	122.866
1.058	114.867	118.789	122.845
1.059	114.846	118.769	122.825
1.06	114.826	118.748	122.804
1.061	114.806	118.728	122.784
1.062	114.786	118.708	122.763
1.063	114.766	118.687	122.742
1.064	114.746	118.667	122.722
1.065	114.726	118.647	122.701
1.066	114.706	118.626	122.681
1.067	114.686	118.606	122.66
1.068	114.666	118.586	122.639
1.069	114.646	118.565	122.619
1.07	114.626	118.545	122.598
1.071	114.606	118.525	122.578
1.072	114.586	118.504	122.557
1.073	114.566	118.484	122.537
1.074	114.546	118.464	122.516
1.075	114.526	118.443	122.495
1.076	114.505	118.423	122.475
1.077	114.485	118.403	122.454
1.078	114.465	118.383	122.434
1.079	114.445	118.362	122.413
1.08	114.425	118.342	122.393
1.081	114.405	118.322	122.372
1.082	114.385	118.301	122.352
1.083	114.365	118.281	122.331
1.084	114.345	118.261	122.311
1.085	114.325	118.241	122.29
1.086	114.305	118.22	122.27
1.087	114.285	118.2	122.249
1.088	114.265	118.18	122.228
1.089	114.245	118.16	122.208
1.09	114.225	118.139	122.187
1.091	114.205	118.119	122.167
1.092	114.185	118.099	122.146
1.093	114.165	118.079	122.126
1.094	114.146	118.058	122.105
1.095	114.126	118.038	122.085
1.096	114.106	118.018	122.064
1.097	114.086	117.998	122.044
1.098	114.066	117.978	122.023
1.099	114.046	117.957	122.003
1.1	114.026	117.937	121.983
1.101	114.006	117.917	121.962
1.102	113.986	117.897	121.942
1.103	113.966	117.876	121.921
1.104	113.946	117.856	121.901
1.105	113.926	117.836	121.88
1.106	113.906	117.816	121.86
1.107	113.886	117.796	121.839
1.108	113.866	117.775	121.819
1.109	113.846	117.755	121.798
1.11	113.827	117.735	121.778
1.111	113.807	117.715	121.758
1.112	113.787	117.695	121.737
1.113	113.767	117.675	121.717
1.114	113.747	117.654	121.696
1.115	113.727	117.634	121.676
1.116	113.707	117.614	121.655
1.117	113.687	117.594	121.635
1.118	113.667	117.574	121.615
1.119	113.647	117.554	121.594
1.12	113.628	117.534	121.574
1.121	113.608	117.513	121.553
1.122	113.588	117.493	121.533
1.123	113.568	117.473	121.513
1.124	113.548	117.453	121.492
1.125	113.528	117.433	121.472
1.126	113.508	117.413	121.451
1.127	113.489	117.393	121.431
1.128	113.469	117.373	121.411
1.129	113.449	117.352	121.39
1.13	113.429	117.332	121.37
1.131	113.409	117.312	121.349
1.132	113.389	117.292	121.329
1.133	113.37	117.272	121.309
1.134	113.35	117.252	121.288
1.135	113.33	117.232	121.268
1.136	113.31	117.212	121.248
1.137	113.29	117.192	121.227
1.138	113.27	117.172	121.207
1.139	113.251	117.151	121.187
1.14	113.231	117.131	121.166
1.141	113.211	117.111	121.146
1.142	113.191	117.091	121.126
1.143	113.171	117.071	121.105
1.144	113.152	117.051	121.085
1.145	113.132	117.031	121.065
1.146	113.112	117.011	121.044
1.147	113.092	116.991	121.024
1.148	113.072	116.971	121.004
1.149	113.053	116.951	120.983
1.15	113.033	116.931	120.963
1.151	113.013	116.911	120.943
1.152	112.993	116.891	120.923
1.153	112.974	116.871	120.902
1.154	112.954	116.851	120.882
1.155	112.934	116.831	120.862
1.156	112.914	116.811	120.841
1.157	112.895	116.791	120.821
1.158	112.875	116.771	120.801
1.159	112.855	116.751	120.781
1.16	112.835	116.731	120.76
1.161	112.816	116.711	120.74
1.162	112.796	116.691	120.72
1.163	112.776	116.671	120.699
1.164	112.756	116.651	120.679
1.165	112.737	116.631	120.659
1.166	112.717	116.611	120.639
1.167	112.697	116.591	120.618
1.168	112.678	116.571	120.598
1.169	112.658	116.551	120.578
1.17	112.638	116.531	120.558
1.171	112.618	116.511	120.538
1.172	112.599	116.491	120.517
1.173	112.579	116.471	120.497
1.174	112.559	116.451	120.477
1.175	112.54	116.431	120.457
1.176	112.52	116.411	120.436
1.177	112.5	116.391	120.416
1.178	112.481	116.371	120.396
1.179	112.461	116.351	120.376
1.18	112.441	116.331	120.356
1.181	112.422	116.311	120.335
1.182	112.402	116.291	120.315
1.183	112.382	116.271	120.295
1.184	112.363	116.251	120.275
1.185	112.343	116.232	120.255
1.186	112.323	116.212	120.234
