As an example; we consider u'' = -u
t	y[0]	y[1]	cos	sin	iter
0.1	0.1	0.995	0.995004	0.0998334	0
0.2	0.199	0.980025	0.980067	0.198669	0
0.3	0.296008	0.955225	0.955336	0.29552	0
0.4	0.39005	0.920848	0.921061	0.389418	0
0.5	0.480185	0.877239	0.877583	0.479426	0
0.6	0.565507	0.824834	0.825336	0.564642	0
0.7	0.645163	0.764159	0.764842	0.644218	0
0.8	0.718353	0.695822	0.696707	0.717356	0
0.9	0.784344	0.620508	0.62161	0.783327	0
1	0.842473	0.538971	0.540302	0.841471	0
1.1	0.892158	0.452029	0.453596	0.891207	0
1.2	0.9329	0.360553	0.362358	0.932039	0
1.3	0.96429	0.26546	0.267499	0.963558	0
1.4	0.986015	0.167704	0.169967	0.98545	0
1.5	0.997855	0.0682636	0.0707372	0.997495	0
1.6	0.999692	-0.0318633	-0.0291995	0.999574	0
1.7	0.991508	-0.131673	-0.128844	0.991665	0
1.8	0.973383	-0.230166	-0.227202	0.973848	0
1.9	0.945499	-0.326353	-0.32329	0.9463	0
2	0.908136	-0.419271	-0.416147	0.909297	0
2.1	0.861669	-0.507988	-0.504846	0.863209	0
2.2	0.806561	-0.591615	-0.588501	0.808496	0
2.3	0.743367	-0.669313	-0.666276	0.745705	0
2.4	0.672719	-0.740304	-0.737394	0.675463	0
2.5	0.595325	-0.803874	-0.801144	0.598472	0
2.6	0.511961	-0.859387	-0.856889	0.515501	0
2.7	0.423462	-0.906286	-0.904072	0.42738	0
2.8	0.330716	-0.944101	-0.942222	0.334988	0
2.9	0.234653	-0.972452	-0.970958	0.239249	0
3	0.136234	-0.991055	-0.989992	0.14112	0
3.1	0.0364476	-0.999723	-0.999135	0.0415807	0
3.2	-0.063707	-0.99837	-0.998295	-0.0583741	0
3.3	-0.163225	-0.987007	-0.98748	-0.157746	0
3.4	-0.26111	-0.965749	-0.966798	-0.255541	0
3.5	-0.356379	-0.93481	-0.936457	-0.350783	0
3.6	-0.448078	-0.894498	-0.896758	-0.44252	0
3.7	-0.535288	-0.845217	-0.8481	-0.529836	0
3.8	-0.617133	-0.787462	-0.790968	-0.611858	0
3.9	-0.692794	-0.721812	-0.725932	-0.687766	0
4	-0.761511	-0.648923	-0.653644	-0.756802	0
4.1	-0.822596	-0.569528	-0.574824	-0.818277	0
4.2	-0.875435	-0.484421	-0.490261	-0.871576	0
4.3	-0.9195	-0.394455	-0.400799	-0.916166	0
4.4	-0.954348	-0.300533	-0.307333	-0.951602	0
4.5	-0.97963	-0.203595	-0.210796	-0.97753	0
4.6	-0.995091	-0.104614	-0.112153	-0.993691	0
4.7	-1.00058	-0.00458191	-0.0123887	-0.999923	0
4.8	-0.996032	0.0954987	0.087499	-0.996165	0
4.9	-0.981502	0.194624	0.186512	-0.982453	0
5	-0.957132	0.291802	0.283662	-0.958924	0
5.1	-0.923167	0.386056	0.377978	-0.925815	0
5.2	-0.879945	0.476442	0.468517	-0.883455	0
5.3	-0.827901	0.562055	0.554374	-0.832267	0
5.4	-0.767556	0.642034	0.634693	-0.772764	0
5.5	-0.699515	0.71558	0.70867	-0.70554	0
5.6	-0.62446	0.781953	0.775566	-0.631267	0
5.7	-0.543142	0.84049	0.834713	-0.550686	0
5.8	-0.456377	0.890601	0.88552	-0.464602	0
5.9	-0.365035	0.931786	0.927478	-0.373877	0
6	-0.270031	0.963631	0.96017	-0.279415	0
6.1	-0.172318	0.985816	0.983268	-0.182163	0
6.2	-0.072875	0.998118	0.996542	-0.0830894	0
6.28319	0.0104059	1.00073	1	-2.44929e-16	0
