rmax	iter
2	100
2.1	102
2.2	105
2.3	106
2.4	108
2.5	110
2.6	111
2.7	113
2.8	114
2.9	116
3	117
3.1	119
3.2	120
3.3	122
3.4	124
3.5	126
3.6	128
3.7	130
3.8	132
3.9	134
4	136
4.1	138
4.2	140
4.3	142
4.4	144
4.5	146
4.6	148
4.7	150
4.8	152
4.9	154
5	156
5.1	157
5.2	159
5.3	161
5.4	163
5.5	164
5.6	166
5.7	168
5.8	169
5.9	171
6	172
6.1	174
6.2	175
6.3	177
6.4	178
6.5	179
6.6	181
6.7	182
6.8	183
6.9	185
7	186
7.1	187
7.2	188
7.3	190
7.4	191
7.5	192
7.6	193
7.7	194
7.8	195
7.9	196
8	197
8.1	199
8.2	200
8.3	201
8.4	202
8.5	203
8.6	204
8.7	205
8.8	206
8.9	207
9	207
9.1	208
9.2	209
9.3	210
9.4	211
9.5	212
9.6	213
9.7	214
9.8	215
9.9	215
10	216
