rmax	iter
2	93
2.1	96
2.2	99
2.3	102
2.4	104
2.5	107
2.6	109
2.7	111
2.8	114
2.9	116
3	118
3.1	120
3.2	122
3.3	124
3.4	126
3.5	128
3.6	130
3.7	132
3.8	134
3.9	136
4	138
4.1	140
4.2	142
4.3	144
4.4	146
4.5	148
4.6	149
4.7	151
4.8	153
4.9	155
5	156
5.1	158
5.2	160
5.3	162
5.4	163
5.5	165
5.6	166
5.7	168
5.8	169
5.9	171
6	173
6.1	174
6.2	175
6.3	177
6.4	178
6.5	180
6.6	181
6.7	182
6.8	184
6.9	185
7	186
7.1	187
7.2	189
7.3	190
7.4	191
7.5	192
7.6	193
7.7	194
7.8	195
7.9	196
8	198
8.1	199
8.2	200
8.3	201
8.4	202
8.5	203
8.6	204
8.7	205
8.8	206
8.9	207
9	207
9.1	208
9.2	209
9.3	210
9.4	211
9.5	212
9.6	213
9.7	214
9.8	215
9.9	215
10	216
