r	f(e,r)	Exact
0	0	0
0.1	0.0904836	0.0904837
0.2	0.163746	0.163746
0.3	0.222245	0.222245
0.4	0.268128	0.268128
0.5	0.303265	0.303265
0.6	0.329286	0.329287
0.7	0.347609	0.34761
0.8	0.359463	0.359463
0.9	0.365912	0.365913
1	0.367879	0.367879
1.1	0.366158	0.366158
1.2	0.361433	0.361433
1.3	0.354291	0.354291
1.4	0.345235	0.345236
1.5	0.334695	0.334695
1.6	0.323034	0.323034
1.7	0.310562	0.310562
1.8	0.297538	0.297538
1.9	0.28418	0.28418
2	0.27067	0.270671
2.1	0.257158	0.257158
2.2	0.243767	0.243767
2.3	0.230595	0.230595
2.4	0.217723	0.217723
2.5	0.205212	0.205212
2.6	0.193111	0.193111
2.7	0.181455	0.181455
2.8	0.170268	0.170268
2.9	0.159567	0.159567
3	0.149361	0.149361
3.1	0.139653	0.139653
3.2	0.130439	0.130439
3.3	0.121715	0.121714
3.4	0.113469	0.113469
3.5	0.105691	0.105691
3.6	0.0983656	0.0983654
3.7	0.0914773	0.091477
3.8	0.0850092	0.0850089
3.9	0.0789438	0.0789435
4	0.0732629	0.0732626
4.1	0.0679484	0.067948
4.2	0.0629819	0.0629814
4.3	0.0583453	0.0583448
4.4	0.0540208	0.0540203
4.5	0.0499911	0.0499905
4.6	0.0462391	0.0462384
4.7	0.0427485	0.0427478
4.8	0.0395036	0.0395028
4.9	0.0364891	0.0364883
5	0.0336907	0.0336897
5.1	0.0310944	0.0310934
5.2	0.0286872	0.0286861
5.3	0.0264566	0.0264554
5.4	0.0243908	0.0243895
5.5	0.0224786	0.0224772
5.6	0.0207095	0.020708
5.7	0.0190736	0.019072
5.8	0.0175616	0.0175598
5.9	0.0161646	0.0161627
6	0.0148746	0.0148725
6.1	0.0136838	0.0136815
6.2	0.0125849	0.0125825
6.3	0.0115714	0.0115687
6.4	0.0106369	0.010634
6.5	0.0097755	0.00977235
6.6	0.00898184	0.00897843
6.7	0.00825081	0.00824711
6.8	0.00757769	0.00757367
6.9	0.00695809	0.00695372
7	0.00638792	0.00638317
7.1	0.0058634	0.00585824
7.2	0.00538102	0.00537542
7.3	0.00493753	0.00493143
7.4	0.0045299	0.00452327
7.5	0.00415534	0.00414813
7.6	0.00381128	0.00380343
7.7	0.00349531	0.00348677
7.8	0.00320523	0.00319593
7.9	0.002939	0.00292887
8	0.00269473	0.0026837
