iter	x	y	f(x,y)	gradx(x,y)	grady(x,y)
0	-2.000	3.000	109.000	394.000	-200.000
1	-2.000	3.000	109.000	394.000	-200.000
2	-2.000	3.000	109.000	394.000	-200.000
3	-2.000	3.000	109.000	394.000	-200.000
4	-2.000	3.000	109.000	394.000	-200.000
5	-0.342	0.681	33.666	-228.479	112.898
6	-0.342	0.681	33.666	-228.479	112.898
7	-0.342	0.681	33.666	-228.479	112.898
8	-0.342	0.681	33.666	-228.479	112.898
9	0.131	0.148	2.470	-54.103	26.182
10	0.131	0.148	2.470	-54.103	26.182
11	0.131	0.148	2.470	-54.103	26.182
12	0.485	0.107	1.888	49.917	-25.474
13	0.485	0.107	1.888	49.917	-25.474
14	0.488	0.286	0.489	-20.083	9.529
15	0.488	0.286	0.489	-20.083	9.529
16	0.619	0.406	0.200	-10.095	4.666
17	0.619	0.406	0.200	-10.095	4.666
18	0.725	0.549	0.130	-9.887	4.669
19	0.786	0.614	0.048	1.416	-0.922
20	0.786	0.614	0.048	1.416	-0.922
21	0.830	0.691	0.029	-1.319	0.490
22	0.830	0.691	0.029	-1.319	0.490
23	0.854	0.729	0.021	-0.342	0.025
24	0.854	0.729	0.021	-0.342	0.025
25	0.876	0.768	0.015	-0.312	0.032
26	0.876	0.768	0.015	-0.312	0.032
27	0.887	0.787	0.013	-0.109	-0.058
28	0.887	0.787	0.013	-0.109	-0.058
29	0.898	0.806	0.010	-0.103	-0.050
30	0.898	0.806	0.010	-0.103	-0.050
31	0.904	0.816	0.009	-0.054	-0.069
32	0.904	0.816	0.009	-0.054	-0.069
33	0.909	0.826	0.008	-0.052	-0.065
34	0.909	0.826	0.008	-0.052	-0.065
35	0.914	0.836	0.007	-0.051	-0.060
36	0.914	0.836	0.007	-0.051	-0.060
37	0.920	0.845	0.006	-0.049	-0.056
38	0.920	0.845	0.006	-0.049	-0.056
39	0.925	0.855	0.006	-0.046	-0.052
40	0.925	0.855	0.006	-0.046	-0.052
41	0.930	0.865	0.005	-0.044	-0.048
42	0.930	0.865	0.005	-0.044	-0.048
43	0.935	0.875	0.004	-0.042	-0.043
44	0.935	0.875	0.004	-0.042	-0.043
45	0.941	0.885	0.004	-0.040	-0.039
46	0.941	0.885	0.004	-0.040	-0.039
47	0.946	0.894	0.003	-0.038	-0.035
48	0.946	0.894	0.003	-0.038	-0.035
49	0.951	0.904	0.002	-0.036	-0.031
50	0.951	0.904	0.002	-0.036	-0.031
51	0.956	0.914	0.002	-0.034	-0.027
52	0.956	0.914	0.002	-0.034	-0.027
53	0.961	0.924	0.001	-0.032	-0.023
54	0.961	0.924	0.001	-0.032	-0.023
55	0.966	0.934	0.001	-0.030	-0.019
56	0.966	0.934	0.001	-0.030	-0.019
57	0.969	0.939	0.001	-0.016	-0.023
58	0.974	0.949	0.001	0.000	-0.026
59	0.974	0.949	0.001	0.000	-0.026
60	0.974	0.949	0.001	0.000	-0.026
61	0.977	0.954	0.001	-0.007	-0.020
62	0.977	0.954	0.001	-0.007	-0.020
63	0.979	0.959	0.000	-0.011	-0.015
64	0.979	0.959	0.000	-0.011	-0.015
65	0.982	0.964	0.000	-0.010	-0.013
66	0.982	0.964	0.000	-0.010	-0.013
67	0.984	0.969	0.000	-0.009	-0.011
68	0.984	0.969	0.000	-0.009	-0.011
69	0.987	0.974	0.000	-0.008	-0.009
70	0.987	0.974	0.000	-0.008	-0.009
71	0.989	0.979	0.000	-0.007	-0.007
72	0.989	0.979	0.000	-0.007	-0.007
73	0.992	0.984	0.000	-0.006	-0.005
74	0.992	0.984	0.000	-0.006	-0.005
75	0.994	0.989	0.000	-0.005	-0.003
76	0.994	0.989	0.000	-0.005	-0.003
77	0.997	0.993	0.000	-0.004	-0.001
78	0.997	0.993	0.000	-0.004	-0.001
79	0.999	0.998	0.000	-0.001	-0.000
80	1.000	1.000	0.000	0.001	-0.000
81	1.000	1.000	0.000	-0.000	0.000
82	1.000	1.000	0.000	0.000	-0.000
