iter	x	y	f(x,y)	gradx(x,y)	grady(x,y)
0	-2.000	3.000	109.000	394.000	-200.000
1	-2.000	3.000	109.000	394.000	-200.000
2	-0.071	0.396	16.436	-158.542	78.200
3	-0.071	0.396	16.436	-158.542	78.200
4	-0.071	0.396	16.436	-158.542	78.200
5	-0.071	0.396	16.436	-158.542	78.200
6	0.438	0.434	6.180	-97.984	48.430
7	0.438	0.434	6.180	-97.984	48.430
8	0.934	0.886	0.023	-5.637	2.752
9	0.934	0.886	0.023	-5.637	2.752
10	1.000	1.000	0.000	0.038	-0.019
11	1.000	1.000	0.000	0.000	-0.000
12	1.000	1.000	0.000	-0.000	0.000
