x	interp	deriv	integ
0	1	-0.005	0
0.01	0.99995	-0.015	0.00999975
0.02	0.9998	-0.025	0.0199985
0.03	0.99955	-0.035	0.0299953
0.04	0.9992	-0.045	0.039989
0.05	0.99875	-0.0549	0.0499788
0.06	0.998201	-0.065	0.0599635
0.07	0.997551	-0.0749	0.0699423
0.08	0.996802	-0.0849	0.079914
0.09	0.995953	-0.0949	0.0898778
0.1	0.995004	-0.0949	0.0998326
0.11	0.993956	-0.1048	0.109777
0.12	0.992809	-0.1147	0.119711
0.13	0.991562	-0.1247	0.129633
0.14	0.990216	-0.1346	0.139542
0.15	0.988771	-0.1544	0.149437
0.16	0.987227	-0.1642	0.159317
0.17	0.985585	-0.1741	0.169181
0.18	0.983844	-0.184	0.179028
0.19	0.982004	-0.1937	0.188857
0.2	0.980067	-0.2036	0.198668
0.21	0.978031	-0.2134	0.208458
0.22	0.975897	-0.2231	0.218228
0.23	0.973666	-0.2328	0.227976
0.24	0.971338	-0.2426	0.237701
0.25	0.968912	-0.2522	0.247402
0.26	0.96639	-0.2619	0.257078
0.27	0.963771	-0.2716	0.266729
0.28	0.961055	-0.2811	0.276353
0.29	0.958244	-0.2908	0.28595
0.3	0.955336	-0.3002	0.295518
0.31	0.952334	-0.3099	0.305056
0.32	0.949235	-0.3193	0.314564
0.33	0.946042	-0.3287	0.32404
0.34	0.942755	-0.3382	0.333484
0.35	0.939373	-0.3476	0.342895
0.36	0.935897	-0.357	0.352271
0.37	0.932327	-0.3662	0.361612
0.38	0.928665	-0.3756	0.370917
0.39	0.924909	-0.3848	0.380185
0.4	0.921061	-0.394	0.389415
0.41	0.917121	-0.4032	0.398606
0.42	0.913089	-0.4123	0.407757
0.43	0.908966	-0.4214	0.416867
0.44	0.904752	-0.4305	0.425936
0.45	0.900447	-0.4395	0.434962
0.46	0.896052	-0.4484	0.443944
0.47	0.891568	-0.4573	0.452883
0.48	0.886995	-0.4662	0.461775
0.49	0.882333	-0.475	0.470622
0.5	0.877583	-0.4838	0.479422
0.51	0.872745	-0.4926	0.488173
0.52	0.867819	-0.5012	0.496876
0.53	0.862807	-0.5098	0.505529
0.54	0.857709	-0.5184	0.514132
0.55	0.852525	-0.527	0.522683
0.56	0.847255	-0.5354	0.531182
0.57	0.841901	-0.5438	0.539628
0.58	0.836463	-0.5522	0.548019
0.59	0.830941	-0.5605	0.556356
0.6	0.825336	-0.5688	0.564638
0.61	0.819648	-0.577	0.572863
0.62	0.813878	-0.585	0.58103
0.63	0.808028	-0.5932	0.58914
0.64	0.802096	-0.6012	0.59719
0.65	0.796084	-0.6092	0.605181
0.66	0.789992	-0.617	0.613112
0.67	0.783822	-0.6249	0.620981
0.68	0.777573	-0.6327	0.628788
0.69	0.771246	-0.6404	0.636532
0.7	0.764842	-0.648	0.644212
0.71	0.758362	-0.6556	0.651828
0.72	0.751806	-0.6632	0.659379
0.73	0.745174	-0.6705	0.666864
0.74	0.738469	-0.678	0.674282
0.75	0.731689	-0.6853	0.681633
0.76	0.724836	-0.6925	0.688916
0.77	0.717911	-0.6997	0.696129
0.78	0.710914	-0.7069	0.703274
0.79	0.703845	-0.7138	0.710347
0.8	0.696707	-0.7209	0.71735
0.81	0.689498	-0.7277	0.724281
0.82	0.682221	-0.7345	0.73114
0.83	0.674876	-0.7413	0.737925
0.84	0.667463	-0.748	0.744637
0.85	0.659983	-0.7546	0.751274
0.86	0.652437	-0.761	0.757836
0.87	0.644827	-0.7676	0.764323
0.88	0.637151	-0.7739	0.770732
0.89	0.629412	-0.7802	0.777065
0.9	0.62161	-0.7864	0.78332
0.91	0.613746	-0.7926	0.789497
0.92	0.60582	-0.7986	0.795595
0.93	0.597834	-0.8046	0.801613
0.94	0.589788	-0.8105	0.807551
0.95	0.581683	-0.8163	0.813409
0.96	0.57352	-0.822	0.819185
0.97	0.5653	-0.8277	0.824879
0.98	0.557023	-0.8333	0.83049
0.99	0.54869	-0.8388	0.836019
1	0.540302	-0.8441	0.841464
1.01	0.531861	-0.8495	0.846825
1.02	0.523366	-0.8547	0.852101
1.03	0.514819	-0.8599	0.857292
1.04	0.50622	-0.8649	0.862397
1.05	0.497571	-0.8699	0.867416
1.06	0.488872	-0.8748	0.872348
1.07	0.480124	-0.8796	0.877193
1.08	0.471328	-0.8843	0.881951
1.09	0.462485	-0.8889	0.88662
1.1	0.453596	-0.8934	0.8912
1.11	0.444662	-0.898	0.895691
1.12	0.435682	-0.9022	0.900093
