x	eval	deriv	integ
0	1	-0.0048626	0
0.01	0.99995	-0.0051374	0.00999975
0.02	0.9998	-0.0248626	0.0199987
0.03	0.99955	-0.0251374	0.0299954
0.04	0.9992	-0.0448626	0.0399893
0.05	0.99875	-0.0451374	0.0499791
0.06	0.998201	-0.0646626	0.059964
0.07	0.997551	-0.0653374	0.0699428
0.08	0.996802	-0.0844626	0.0799147
0.09	0.995953	-0.0853374	0.0898785
0.1	0.995004	-0.104463	0.0998334
0.11	0.993956	-0.105137	0.109778
0.12	0.992809	-0.124263	0.119712
0.13	0.991562	-0.125137	0.129634
0.14	0.990216	-0.144063	0.139543
0.15	0.988771	-0.144937	0.149438
0.16	0.987227	-0.163863	0.159318
0.17	0.985585	-0.164537	0.169182
0.18	0.983844	-0.183663	0.17903
0.19	0.982004	-0.184337	0.188859
0.2	0.980067	-0.203063	0.198669
0.21	0.978031	-0.204137	0.20846
0.22	0.975897	-0.222663	0.21823
0.23	0.973666	-0.223537	0.227977
0.24	0.971338	-0.242063	0.237703
0.25	0.968912	-0.243137	0.247404
0.26	0.96639	-0.261263	0.257081
0.27	0.963771	-0.262537	0.266731
0.28	0.961055	-0.280663	0.276356
0.29	0.958244	-0.281537	0.285952
0.3	0.955336	-0.300063	0.29552
0.31	0.952334	-0.300337	0.305059
0.32	0.949235	-0.319463	0.314567
0.33	0.946042	-0.319137	0.324043
0.34	0.942755	-0.338263	0.333487
0.35	0.939373	-0.338137	0.342898
0.36	0.935897	-0.357063	0.352274
0.37	0.932327	-0.356937	0.361615
0.38	0.928665	-0.375463	0.37092
0.39	0.924909	-0.375737	0.380188
0.4	0.921061	-0.393863	0.389418
0.41	0.917121	-0.394137	0.398609
0.42	0.913089	-0.412263	0.40776
0.43	0.908966	-0.412337	0.416871
0.44	0.904752	-0.430463	0.425939
0.45	0.900447	-0.430537	0.434965
0.46	0.896052	-0.448463	0.443948
0.47	0.891568	-0.448337	0.452886
0.48	0.886995	-0.466263	0.461779
0.49	0.882333	-0.466137	0.470626
0.5	0.877583	-0.483863	0.479426
0.51	0.872745	-0.483737	0.488177
0.52	0.867819	-0.501463	0.49688
0.53	0.862807	-0.500937	0.505533
0.54	0.857709	-0.518663	0.514136
0.55	0.852525	-0.518137	0.522687
0.56	0.847255	-0.535863	0.531186
0.57	0.841901	-0.534937	0.539632
0.58	0.836463	-0.552663	0.548024
0.59	0.830941	-0.551737	0.556361
0.6	0.825336	-0.569263	0.564642
0.61	0.819648	-0.568337	0.572867
0.62	0.813878	-0.585663	0.581035
0.63	0.808028	-0.584337	0.589145
0.64	0.802096	-0.602063	0.597195
0.65	0.796084	-0.600337	0.605186
0.66	0.789992	-0.618063	0.613117
0.67	0.783822	-0.615937	0.620986
0.68	0.777573	-0.633863	0.628793
0.69	0.771246	-0.631537	0.636537
0.7	0.764842	-0.649263	0.644218
0.71	0.758362	-0.646737	0.651834
0.72	0.751806	-0.664463	0.659385
0.73	0.745174	-0.661937	0.66687
0.74	0.738469	-0.679063	0.674288
0.75	0.731689	-0.676937	0.681639
0.76	0.724836	-0.693663	0.688921
0.77	0.717911	-0.691337	0.696135
0.78	0.710914	-0.708063	0.703279
0.79	0.703845	-0.705737	0.710353
0.8	0.696707	-0.721863	0.717356
0.81	0.689498	-0.719937	0.724287
0.82	0.682221	-0.735463	0.731146
0.83	0.674876	-0.733537	0.737931
0.84	0.667463	-0.749063	0.744643
0.85	0.659983	-0.746937	0.75128
0.86	0.652437	-0.762263	0.757843
0.87	0.644827	-0.759737	0.764329
0.88	0.637151	-0.775463	0.770739
0.89	0.629412	-0.772337	0.777072
0.9	0.62161	-0.788063	0.783327
0.91	0.613746	-0.784737	0.789504
0.92	0.60582	-0.800463	0.795602
0.93	0.597834	-0.796737	0.80162
0.94	0.589788	-0.812463	0.807558
0.95	0.581683	-0.808537	0.813415
0.96	0.57352	-0.824063	0.819192
0.97	0.5653	-0.819937	0.824886
0.98	0.557023	-0.835463	0.830497
0.99	0.54869	-0.831137	0.836026
1	0.540302	-0.846463	0.841471
1.01	0.531861	-0.841737	0.846832
1.02	0.523366	-0.857263	0.852108
1.03	0.514819	-0.852137	0.857299
1.04	0.50622	-0.867663	0.862404
1.05	0.497571	-0.862137	0.867423
1.06	0.488872	-0.877663	0.872356
1.07	0.480124	-0.871937	0.8772
1.08	0.471328	-0.887263	0.881958
1.09	0.462485	-0.881337	0.886627
1.1	0.453596	-0.896463	0.891207
1.11	0.444662	-0.890337	0.895699
1.12	0.435682	-0.905663	0.9001
1.13	0.42666	-0.898737	0.904412
1.14	0.417595	-0.914263	0.908634
1.15	0.408487	-0.907337	0.912764
1.16	0.39934	-0.922063	0.916803
1.17	0.390152	-0.915537	0.920751
1.18	0.380925	-0.929863	0.924606
1.19	0.37166	-0.923137	0.928369
1.2	0.362358	-0.937263	0.932039
1.21	0.353019	-0.930537	0.935616
1.22	0.343646	-0.944063	0.939099
1.23	0.334238	-0.937537	0.942489
1.24	0.324796	-0.950863	0.945784
1.25	0.315322	-0.943937	0.948985
1.26	0.305817	-0.957063	0.95209
1.27	0.296281	-0.950137	0.955101
1.28	0.286715	-0.963063	0.958016
1.29	0.277121	-0.955737	0.960835
1.3	0.267499	-0.968663	0.963558
1.31	0.25785	-0.961137	0.966185
1.32	0.248175	-0.973863	0.968715
1.33	0.238476	-0.965937	0.971148
1.34	0.228753	-0.978663	0.973485
1.35	0.219007	-0.970537	0.975723
1.36	0.209239	-0.983063	0.977865
1.37	0.19945	-0.974737	0.979908
1.38	0.189641	-0.987063	0.981854
1.39	0.179813	-0.978537	0.983701
1.4	0.169967	-0.990663	0.98545
1.41	0.160104	-0.981937	0.9871
1.42	0.150225	-0.993863	0.988652
1.43	0.140332	-0.984737	0.990105
1.44	0.130424	-0.996863	0.991458
1.45	0.120503	-0.987337	0.992713
1.46	0.11057	-0.999263	0.993868
1.47	0.100626	-0.989537	0.994924
1.48	0.0906716	-1.00134	0.995881
1.49	0.0807084	-0.991297	0.996738
1.5	0.0707372	-1.00294	0.997495
1.51	0.0607589	-0.992717	0.998152
1.52	0.0507745	-1.00416	0.99871
1.53	0.040785	-0.993737	0.999168
1.54	0.0307915	-1.00496	0.999526
1.55	0.0207948	-0.994377	0.999784
1.56	0.0107961	-1.00536	0.999942
1.57	0.000796327	-0.994592	1
1.58	-0.00920354	-1.00538	0.999958
1.59	-0.0192025	-0.994411	0.999816
1.6	-0.0291995	-1.00499	0.999574
1.61	-0.0391936	-0.993831	0.999232
1.62	-0.0491838	-1.00421	0.99879
1.63	-0.0591691	-0.992851	0.998248
1.64	-0.0691484	-1.00301	0.997606
1.65	-0.0791209	-0.991491	0.996865
1.66	-0.0890854	-1.00141	0.996024
1.67	-0.099041	-0.989711	0.995083
1.68	-0.108987	-0.999489	0.994043
1.69	-0.118922	-0.987511	0.992904
1.7	-0.128844	-0.996889	0.991665
1.71	-0.138755	-0.985311	0.990327
1.72	-0.148651	-0.993889	0.98889
1.73	-0.158532	-0.982311	0.987354
1.74	-0.168397	-0.990689	0.985719
1.75	-0.178246	-0.979111	0.983986
1.76	-0.188077	-0.987089	0.982154
1.77	-0.197889	-0.975311	0.980224
1.78	-0.207681	-0.983089	0.978197
1.79	-0.217452	-0.971111	0.976071
1.8	-0.227202	-0.978889	0.973848
1.81	-0.236929	-0.966511	0.971527
1.82	-0.246632	-0.974089	0.969109
1.83	-0.256311	-0.961711	0.966594
1.84	-0.265964	-0.968889	0.963983
1.85	-0.27559	-0.956311	0.961275
1.86	-0.285189	-0.963489	0.958471
1.87	-0.294759	-0.950511	0.955572
1.88	-0.3043	-0.957689	0.952576
1.89	-0.313811	-0.944511	0.949486
1.9	-0.32329	-0.951289	0.9463
1.91	-0.332736	-0.937911	0.94302
1.92	-0.34215	-0.944889	0.939646
1.93	-0.351529	-0.930911	0.936177
1.94	-0.360873	-0.937889	0.932615
1.95	-0.370181	-0.923711	0.92896
1.96	-0.379452	-0.930489	0.925212
1.97	-0.388685	-0.916111	0.921371
1.98	-0.397879	-0.922689	0.917438
1.99	-0.407033	-0.908111	0.913413
2	-0.416147	-0.914689	0.909297
2.01	-0.425219	-0.899711	0.905091
2.02	-0.434248	-0.906089	0.900793
2.03	-0.443234	-0.891111	0.896406
2.04	-0.452176	-0.897289	0.891929
2.05	-0.461073	-0.882111	0.887362
2.06	-0.469923	-0.887889	0.882707
2.07	-0.478727	-0.872911	0.877964
2.08	-0.487482	-0.878089	0.873133
2.09	-0.496189	-0.863311	0.868215
2.1	-0.504846	-0.868089	0.863209
